"시점","범죄발생시간별(1)",계,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,절도범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,풍속범죄,풍속범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
"시점","범죄발생시간별(1)",소계,소계,살인기수,살인미수등,강도,강간·강제추행,강간,유사강간,강제추행,기타 강간·강제추행등,방화,소계,소계,상해,폭행,체포·감금,협박,약취·유인,폭력행위등,공갈,손괴,소계,직무유기,직권남용,증수뢰,통화,문서·인장,유가증권인지,사기,횡령,배임,소계,성풍속범죄,도박범죄,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"2011","계",1752598,26699,427,777,3994,19498,-,-,-,-,2003,281362,311945,67206,126651,832,3578,266,46729,5239,61444,279802,377,226,586,7900,14948,803,223470,26767,4725,28834,13381,15453,68026,4160,14083,2649,536167,1584,131,212,20587,176357
"2011","00:00~02:59",175531,3716,55,90,609,2614,-,-,-,-,348,33013,47209,10035,20939,78,254,19,7874,334,7676,13910,10,14,7,359,485,29,11367,1275,364,1111,444,667,3721,170,879,97,56475,54,10,12,420,14734
"2011","03:00~05:59",101392,3982,34,83,820,2761,-,-,-,-,284,20502,31683,6528,13954,65,129,8,6056,130,4813,4403,2,8,1,31,80,4,3867,405,5,504,202,302,1371,85,388,27,30616,17,6,4,1,7803
"2011","06:00~08:59",88871,2312,51,51,240,1838,-,-,-,-,132,19069,16231,3559,6482,56,112,17,2383,222,3400,2651,-,3,4,100,59,7,2047,427,4,447,304,143,1194,43,107,94,39598,10,1,8,81,7025
"2011","09:00~11:59",178310,1425,35,57,237,958,-,-,-,-,138,31812,19449,4370,7391,103,400,25,2377,375,4408,43054,68,41,54,2039,2582,109,33328,3754,1079,1612,705,907,9080,259,1479,439,43072,170,19,36,3288,23116
"2011","12:00~14:59",99469,1095,15,44,179,748,-,-,-,-,109,20846,13748,3046,5367,46,223,30,1915,417,2704,13961,12,11,35,454,844,50,11286,1115,154,1242,378,864,3450,215,569,349,33404,60,3,19,245,10263
"2011","15:00~17:59",162018,1954,48,72,280,1349,-,-,-,-,205,34307,27269,5708,10095,83,383,45,4053,1013,5889,14352,22,9,25,603,508,52,11804,1265,64,2945,787,2158,4514,340,1069,391,58581,60,8,30,106,16092
"2011","18:00~20:59",192126,2741,63,110,341,1976,-,-,-,-,251,44176,42818,8186,16446,98,396,34,5391,807,11460,9068,10,9,51,208,324,30,7232,1169,35,3299,706,2593,3760,352,857,99,70419,93,8,14,99,14323
"2011","21:00~23:59",317650,4141,75,149,466,3110,-,-,-,-,341,38819,71031,14170,31607,95,396,27,10009,519,14208,9160,5,3,44,115,285,30,7581,1083,14,3240,752,2488,4985,431,2171,83,160684,223,13,2,44,22623
"2011","미상",437231,5333,51,121,822,4144,-,-,-,-,195,38818,42507,11604,14370,208,1285,61,6671,1422,6886,169243,248,128,365,3991,9781,492,134958,16274,3006,14434,9103,5331,35951,2265,6564,1070,43318,897,63,87,16303,60378
"2012","계",1793400,25152,411,584,2587,19670,-,-,-,-,1900,290460,312579,62342,130546,876,4480,200,46725,6698,60712,295101,496,276,357,8203,14393,508,235366,31273,4229,24801,14935,9866,78155,4268,16800,3128,542784,1391,109,1262,23143,174267
"2012","00:00~02:59",130371,3023,36,59,381,2278,-,-,-,-,269,23761,40387,7751,18911,56,222,9,6915,207,6316,6268,4,11,2,51,193,10,5149,837,11,734,374,360,2573,110,639,24,42507,30,5,11,11,10288
"2012","03:00~05:59",106086,3620,34,45,594,2675,-,-,-,-,272,23392,31567,6107,14228,69,145,5,5910,165,4938,4901,6,4,1,36,127,5,4034,686,2,475,286,189,1858,87,369,29,31839,21,2,14,3,7909
